Date,Int,Pressure,PumpState
2017-08-25 00:22:41.440,0,251.50997,
2017-08-25 00:22:41.660,0,212.284084,
2017-08-25 00:22:41.950,0,178.349789,
2017-08-25 00:22:42.270,0,145.086353,
2017-08-25 00:22:42.560,0,121.699498,
2017-08-25 00:22:42.890,0,103.544667,
2017-08-25 00:22:43.190,0,88.5934443,
2017-08-25 00:22:43.480,0,81.0124913,
2017-08-25 00:22:43.630,0,74.7389728,
2017-08-25 00:22:43.890,0,68.87885,
2017-08-25 00:22:44.140,0,63.4097492,
2017-08-25 00:22:44.410,0,55.8926339,
2017-08-25 00:22:44.860,0,51.3093179,
2017-08-25 00:22:45.130,0,47.045952,
2017-08-25 00:22:45.390,0,43.5635174,
2017-08-25 00:22:45.860,0,40.3002001,
2017-08-25 00:22:46.140,0,37.2446865,
2017-08-25 00:22:46.670,0,34.7828253,
2017-08-25 00:22:46.970,0,32.4590692,
2017-08-25 00:22:47.230,0,124.001118,
2017-08-25 00:22:47.300,0,176.780875,
2017-08-25 00:22:47.590,0,233.162085,
2017-08-25 00:22:47.910,0,264.408666,
2017-08-25 00:22:48.220,0,291.89627,
2017-08-25 00:22:49.550,0,262.220786,
2017-08-25 00:22:49.890,0,223.466986,
2017-08-25 00:22:50.270,0,186.371404,
2017-08-25 00:22:50.360,0,176.780875,
2017-08-25 00:22:50.690,0,150.462914,
2017-08-25 00:22:50.780,0,142.459275,
2017-08-25 00:22:51.080,0,129.915846,
2017-08-25 00:22:51.390,0,111.781447,
2017-08-25 00:22:51.690,0,101.567202,
2017-08-25 00:22:51.950,0,95.8241951,
2017-08-25 00:22:52.220,0,83.4763727,
2017-08-25 00:22:52.520,0,78.6100167,
2017-08-25 00:22:52.940,0,71.7586577,
2017-08-25 00:22:53.190,0,66.7832857,
2017-08-25 00:22:53.250,0,62.7525278,
2017-08-25 00:22:53.640,0,58.9281757,
2017-08-25 00:22:54.160,0,54.7157744,
2017-08-25 00:22:54.450,0,50.7592843,
2017-08-25 00:22:54.890,0,47.5620108,
2017-08-25 00:22:55.170,0,44.5356335,
2017-08-25 00:22:55.420,0,41.6726701,
2017-08-25 00:22:55.940,0,38.5294538,
2017-08-25 00:22:56.640,0,35.996087,
2017-08-25 00:22:57.420,0,33.2187062,
2017-08-25 00:22:58.160,0,30.9834789,
2017-08-25 00:22:59.170,0,28.8759011,
2017-08-25 00:23:00.190,0,26.8899978,
2017-08-25 00:23:01.660,0,25.0200108,
2017-08-25 00:23:03.410,0,23.260393,
2017-08-25 00:23:05.420,0,21.6058033,
2017-08-25 00:23:07.920,0,20.0511009,
2017-08-25 00:23:10.890,0,18.59134,
2017-08-25 00:23:14.140,0,17.2217651,
2017-08-25 00:23:17.640,0,15.9378052,
2017-08-25 00:23:21.640,0,14.735069,
2017-08-25 00:23:26.640,0,13.6093401,
2017-08-25 00:23:32.160,0,12.5565718,
2017-08-25 00:23:38.140,0,11.5728827,
2017-08-25 00:23:44.660,0,10.6545513,
2017-08-25 00:23:53.390,0,9.79801212,
2017-08-25 00:24:03.390,0,8.99985048,
2017-08-25 00:24:16.420,0,8.25679833,
2017-08-25 00:24:22.640,0,,2.0
2017-08-25 00:24:28.280,0,7.56572971,
2017-08-25 00:24:29.190,0,6.9236564,
2017-08-25 00:24:29.890,0,6.32772367,
2017-08-25 00:24:30.420,0,,
2017-08-25 00:24:30.920,0,5.77520605,
2017-08-25 00:24:31.940,0,5.26350321,
2017-08-25 00:24:32.200,0,,
2017-08-25 00:24:33.170,0,4.79013591,
2017-08-25 00:24:35.220,0,4.35274202,
2017-08-25 00:24:37.950,0,3.94907261,
2017-08-25 00:24:40.160,0,,
2017-08-25 00:24:42.640,0,3.57698812,
2017-08-25 00:24:53.390,0,3.23445465,
2017-08-25 00:24:55.910,0,,
2017-08-25 00:25:26.200,0,,
2017-08-25 00:25:27.220,0,3.57698812,
2017-08-25 00:25:28.470,0,3.94907261,
2017-08-25 00:25:29.690,0,,
2017-08-25 00:25:30.450,0,4.35274202,
2017-08-25 00:25:33.660,0,4.79013591,
2017-08-25 00:25:35.550,0,,
2017-08-25 00:25:41.340,0,5.26350321,
2017-08-25 00:25:50.660,0,,
2017-08-25 00:27:05.410,0,,
2017-08-25 00:27:09.160,0,4.79013591,
2017-08-25 00:28:30.390,0,4.35274202,
2017-08-25 00:30:35.160,0,3.94907261,
2017-08-25 00:33:37.140,0,3.57698812,
2017-08-25 00:38:36.140,0,3.23445465,
2017-08-25 00:45:32.390,0,2.91954019,
2017-08-25 00:58:43.980,0,0.0,
2017-08-25 00:58:44.000,0,,0.0
2017-08-25 00:59:57.750,0,,2.0
2017-08-25 01:17:23.520,0,2.36532849,
2017-08-25 02:05:15.690,0,2.12264488,
2017-08-25 02:10:27.450,0,,
2017-08-25 02:52:43.470,0,,16.0
2017-08-25 02:53:08.480,0,,32.0
2017-08-25 02:56:35.530,0,,1.0
2017-08-25 02:56:35.810,0,8786.23635,
2017-08-25 02:56:45.750,0,7000.50815,
2017-08-25 02:56:46.270,0,5636.94206,
2017-08-25 02:56:46.520,0,3564.18682,
2017-08-25 02:56:46.840,0,2994.00053,
2017-08-25 02:56:47.140,0,2365.92222,
2017-08-25 02:56:47.450,0,1776.72201,
2017-08-25 02:56:47.770,0,1587.63778,
2017-08-25 02:56:48.080,0,1411.61725,
